City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,mangai,-4.05,19.5333,21.34,44,46,1.13,CD,1720059660
285,papao,-17.75,-149.55,28.82,78,6,10.71,PF,1720059661
286,vila franca do campo,37.7167,-25.4333,19.23,99,94,2.06,PT,1720059662
287,tacuarembo,-31.7333,-55.9833,7.96,74,98,3.34,UY,1720059664
288,new norfolk,-42.7826,147.0587,9.4,59,7,1.03,AU,1720059665
289,brookings,44.3114,-96.7984,23.03,68,20,0.0,US,1720059667
290,val-d'or,48.1002,-77.7828,18.05,100,20,4.12,CA,1720059668
291,ilha de mocambique,-15.0342,40.7358,23.75,71,2,2.62,MZ,1720059670
292,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,75,3.0,RU,1720059671
293,port-vila,-17.7338,168.3219,27.78,65,40,3.6,VU,1720059673
294,pacasmayo,-7.4006,-79.5714,18.21,88,12,3.14,PE,1720059674
295,alliance,40.9153,-81.1059,24.22,97,96,3.56,US,1720059578
296,newala kisimani,-10.95,39.2833,15.48,95,97,1.48,TZ,1720059677
297,kadugli,11.0167,29.7167,25.96,63,100,3.49,SD,1720059679
298,reggane,26.7158,0.1714,35.27,8,0,2.54,DZ,1720059681
299,anar darah,32.7587,61.654,27.46,14,0,4.71,AF,1720059682
300,whitehorse,60.7161,-135.0538,21.43,47,20,4.12,CA,1720059684
301,nova sintra,14.8667,-24.7167,22.12,86,93,2.1,CV,1720059685
302,daru,-9.0763,143.2092,25.83,90,100,7.14,PG,1720059457
303,sisimiut,66.9395,-53.6735,5.19,76,32,1.51,GL,1720059689
304,nadi,-17.8,177.4167,30.0,54,20,4.63,FJ,1720059690
305,brisas de zicatela,15.8369,-97.0419,28.29,78,75,1.03,MX,1720059692
306,dryden,49.7833,-92.7503,15.16,100,100,3.6,CA,1720059695
307,holualoa,19.6228,-155.9522,26.97,72,40,4.12,US,1720059697
308,samarinda,-0.5,117.15,25.02,89,100,0.47,ID,1720059698
309,shitanjing,39.2342,106.3439,26.32,22,99,0.61,CN,1720059700
310,broken hill,-31.95,141.4333,13.52,52,48,8.26,AU,1720059701
311,bereznik,62.8551,42.7072,15.84,78,15,4.72,RU,1720059703
312,chinde,26.8418,88.0763,20.0,90,100,2.51,NP,1720059704
313,puerto santa,-8.9906,-78.6456,17.96,87,22,2.77,PE,1720059706
314,arno,60.1167,18.6333,15.44,94,21,3.82,SE,1720059708
315,rota,36.6224,-6.3586,24.01,60,0,2.57,ES,1720059710
316,novodzhereliyevskaya,45.7737,38.6723,21.46,54,3,3.49,RU,1720059711
317,nikolayevsk-on-amure,53.1406,140.73,31.94,38,21,2.35,RU,1720059674
318,shubarshi,48.5872,57.1869,23.81,57,3,4.28,KZ,1720059715
319,amga,60.8953,131.9608,21.99,27,53,5.51,RU,1720059717
320,timbuktu,16.7735,-3.0074,30.22,50,99,5.24,ML,1720059718
321,dali,25.7,100.1833,19.45,87,100,2.23,CN,1720059720
322,gereida,11.2811,25.1414,27.9,56,95,3.04,SD,1720059721
323,sungailiat,-1.85,106.1333,29.2,75,44,4.52,ID,1720059576
324,mata-utu,-13.2816,-176.1745,28.06,81,52,9.67,WF,1720059699
325,xinyuan,37.3,99.0,8.74,73,100,2.89,CN,1720059725
326,ta`u,-14.2336,-169.5144,27.14,80,54,10.1,AS,1720059727
327,hatillo,18.4863,-66.8254,28.95,82,99,2.68,PR,1720059728
328,laihia,62.9761,22.0114,11.68,100,0,1.54,FI,1720059730
329,monte patria,-30.6919,-70.9467,16.11,37,100,0.61,CL,1720059731
330,fort st. john,56.2499,-120.8529,16.94,77,40,5.66,CA,1720059735
331,carrick-on-suir,52.3492,-7.4131,11.42,88,47,3.13,IE,1720059736
332,vila velha,-20.3297,-40.2925,21.97,73,0,0.0,BR,1720059738
333,urbania,43.6697,12.5201,18.27,91,75,0.3,IT,1720059739
334,escanaba,45.7453,-87.0646,19.42,94,0,0.0,US,1720059741
335,livingston,55.9029,-3.5226,9.36,84,20,5.66,GB,1720059742
336,betio village,1.358,172.9211,30.02,78,100,4.47,KI,1720059744
337,oum hadjer,13.2954,19.6966,27.9,66,100,5.93,TD,1720059745
338,kaa-khem,51.6833,94.7333,19.29,66,100,2.4,RU,1720059747
339,andover,51.2083,-1.4825,13.42,86,20,5.14,GB,1720059461
340,dalandzadgad,43.5708,104.425,26.02,23,100,1.62,MN,1720059749
341,port douglas,-16.4833,145.4667,23.59,80,95,5.92,AU,1720059751
342,augustow,53.8432,22.9798,13.1,97,100,1.18,PL,1720059752
343,hlukhiv,51.6782,33.9162,18.39,62,29,3.15,UA,1720059754
344,furstenfeld,47.05,16.0833,15.47,94,86,1.3,AT,1720059755
345,raduzhny,62.0961,77.475,19.04,48,8,1.42,RU,1720059757
346,rio grande,-32.035,-52.0986,11.06,74,100,2.75,BR,1720059758
347,guadalupe y calvo,26.1,-106.9667,15.13,93,58,2.12,MX,1720059760
348,san pedro pochutla,15.7333,-96.4667,26.84,89,17,1.84,MX,1720059761
349,cuatro cienegas de carranza,26.9833,-102.0833,32.03,39,0,7.57,MX,1720059763
350,muang xay,20.7,101.9833,24.74,91,100,0.29,LA,1720059764
351,olinda,-8.0089,-34.8553,25.85,78,75,3.09,BR,1720059766
352,barmer,25.75,71.3833,30.14,65,70,5.44,IN,1720059767
353,tura,25.5198,90.2201,25.12,91,100,2.6,IN,1720059769
354,veraval,20.9,70.3667,29.02,85,100,8.02,IN,1720059770
355,fortuna,40.5982,-124.1573,19.96,64,0,5.14,US,1720059771
356,north bend,43.4065,-124.2243,22.21,77,0,10.29,US,1720059773
357,forster,-32.1667,152.5167,16.83,65,81,6.21,AU,1720059774
358,colonia,50.9333,6.95,15.63,82,40,4.12,DE,1720059776
359,flying fish cove,-10.4217,105.6791,26.82,89,100,5.66,CX,1720059777
360,queenstown,-31.8976,26.8753,7.16,72,50,5.12,ZA,1720059606
361,eyl,7.9803,49.8164,26.2,60,99,11.43,SO,1720059780
362,benguela,-12.5763,13.4055,19.59,86,2,2.51,AO,1720059783
363,rethymno,35.3647,24.4714,24.79,63,0,2.39,GR,1720059787
364,quellon,-43.1167,-73.6167,3.99,67,80,5.58,CL,1720059788
